AskedPrice,FinalPrice,Surface,Room number,Sold date
3395000,3760000,91.3,4,2015-05-17,
2695000,3050000,80,3,2015-05-15,
2295000,2410000,64.6,2,2015-05-15,
2875000,3100000,53.7,2,2015-05-13,
4450000,5200000,104,4,2015-05-13,
4495000,5000000,75,3,2015-05-13,
8950000,11000000,144,7,2015-05-13,
2495000,2630000,75,3,2015-05-13,
2750000,3100000,53.7,2,2015-05-13,
2650000,2700000,66.5,3,2015-05-13,
1450000,1870000,34,2,2015-05-13,
6925000,7100000,99,4,2015-05-13,
11250000,11000000,170,6,2015-05-13,
2495000,2665000,78.1,3,2015-05-12,
7450000,8000000,158,7,2015-05-12,
2595000,2830000,72,3,2015-05-12,
1895000,2350000,50.1,2,2015-05-12,
2495000,2700000,76,3,2015-05-10,
3795000,3800000,91,4,2015-05-10,
3650000,4630000,102.5,4.5,2015-05-10,
7950000,7850000,165,6,2015-05-09,
7950000,8300000,144,5,2015-05-09,
3300000,3300000,69,3,2015-05-09,
9250000,9400000,205,8,2015-05-08,
2395000,2500000,69.5,3,2015-05-08,
4990000,5450000,146.5,6,2015-05-08,
2275000,2505000,57,2,2015-05-07,
2375000,2630000,69.5,3,2015-05-07,
2495000,2830000,46,2,2015-05-07,
6000000,6000000,115,3,2015-05-07,
2795000,3100000,69,3,2015-05-07,
1895000,2360000,39,1,2015-05-07,
11500000,11150000,200,7,2015-05-07,
6450000,7610000,133,6,2015-05-06,
2995000,3620000,77,4,2015-05-06,
1795000,1900000,39,1,2015-05-06,
2875000,2975000,49,2,2015-05-06,
1750000,2150000,35,2,2015-05-05,
2900000,3370000,55.5,2,2015-05-05,
1995000,2250000,69.5,3,2015-05-04,
3100000,3100000,53,2,2015-05-03,
2500000,2700000,78,3,2015-05-01,
10400000,10400000,161,5,2015-04-30,
1995000,2250000,38.5,1,2015-04-30,
3550000,3950000,77,3,2015-04-29,
2650000,2600000,69.5,3,2015-04-29,
2495000,2900000,78,4,2015-04-29,
1950000,2300000,52,2,2015-04-29,
3275000,3175000,74,4,2015-04-29,
9250000,9400000,249,7,2015-04-29,
2795000,2650000,72.7,3,2015-04-28,
5150000,6425000,133,5,2015-04-28,
7750000,7500000,130,6,2015-04-26,
3995000,4100000,108.5,5,2015-04-23,
1650000,1920000,39.5,1,2015-04-23,
2650000,3675000,56.5,2,2015-04-22,
1495000,1960000,40.3,1,2015-04-22,
2795000,2750000,72,3,2015-04-22,
2595000,3110000,75.5,3,2015-04-22,
3595000,3595000,92.5,4,2015-04-21,
6750000,7000000,159.4,5,2015-04-21,
2095000,2420000,42,2,2015-04-21,
8950000,8700000,233,9,2015-04-20,
4975000,5700000,103,4,2015-04-20,
1795000,1925000,28.2,1,2015-04-18,
2595000,2650000,54,2,2015-04-18,
5950000,6800000,128,6,2015-04-18,
6900000,7260000,169,7,2015-04-17,
1750000,2070000,49.2,2,2015-04-16,
4500000,4400000,102,4,2015-04-16,
2495000,2450000,59,3,2015-04-15,
5250000,5450000,104,3,2015-04-15,
3650000,3700000,57,3,2015-04-15,
1500000,1800000,29.5,1,2015-04-14,
2250000,2400000,62.9,2,2015-04-14,
2595000,2595000,75,3,2015-04-14,
2500000,3200000,50.6,2,2015-04-13,
3350000,3500000,85,3,2015-04-11,
1600000,1700000,39,1,2015-04-07,
2975000,3550000,66,2,2015-04-06,
2150000,2325000,67,3,2015-04-03,
3100000,3050000,78.4,3,2015-04-03,
2500000,2850000,62,3,2015-04-02,
1995000,2220000,64.6,2,2015-04-02,
2690000,2690000,78,3,2015-03-31,
6260000,6260000,149.5,4,2015-03-28,
3600000,3600000,77.5,3,2015-03-27,
2375000,2450000,69.5,3,2015-03-27,
4800000,5310000,145.5,6,2015-03-27,
5030000,5030000,85,3,2015-03-26,
2600000,2450000,48.7,2,2015-03-26,
13900000,15000000,230,7,2015-03-26,
3650000,3650000,89,4,2015-03-26,
2395000,2875000,54,2,2015-03-26,
1495000,1680000,30,1,2015-03-25,
2300000,2340000,67,3,2015-03-25,
2380000,2380000,39,1,2015-03-24,
1795000,2000000,52,2,2015-03-24,
1950000,2110000,47,2,2015-03-23,
4100000,4350000,94,4,2015-03-23,
5950000,7350000,133,6,2015-03-21,
2050000,2370000,42,1,2015-03-20,
2750000,2700000,73,3,2015-03-20,
3630000,3720000,80.2,3,2015-03-19,
7950000,9400000,114,4,2015-03-19,
2495000,2760000,78,3,2015-03-18,
6795000,7675000,131,4,2015-03-18,
8750000,11300000,161,5,2015-03-18,
1495000,1550000,28,1,2015-03-18,
7450000,8325000,125,5,2015-03-18,
3700000,4000000,98,5,2015-03-16,
1795000,2200000,39,1,2015-03-15,
1950000,2305000,37,1,2015-03-13,
3695000,3950000,102,4.5,2015-03-13,
2495000,2450000,59,3,2015-03-13,
12900000,13490000,174,6,2015-03-13,
1995000,2320000,42,2,2015-03-11,
2450000,2725000,53,2,2015-03-11,
2495000,2760000,66,2,2015-03-10,
2395000,2275000,63,3,2015-03-09,
3150000,3540000,70.7,3,2015-03-05,
1995000,2475000,59,3,2015-03-04,
4650000,5575000,91.5,4,2015-03-04,
1900000,2300000,64.6,2,2015-03-04,
1995000,2250000,60,2,2015-03-04,
12500000,12200000,304,8,2015-03-04,
4500000,5000000,104,4,2015-03-03,
9900000,10200000,185,8,2015-02-27,
